model,metric,k,value
all-MiniLM-L6-v2,recall,1.0,0.8431372549019608
all-MiniLM-L6-v2,recall,3.0,0.9803921568627452
all-MiniLM-L6-v2,recall,5.0,0.9803921568627452
all-MiniLM-L6-v2,recall,10.0,0.9901960784313725
all-MiniLM-L6-v2,recall,20.0,0.9901960784313725
all-MiniLM-L6-v2,recall,40.0,1.0
all-MiniLM-L6-v2,precision,1.0,0.825
all-MiniLM-L6-v2,precision,3.0,0.36666666666666664
all-MiniLM-L6-v2,precision,5.0,0.22000000000000003
all-MiniLM-L6-v2,precision,10.0,0.1125
all-MiniLM-L6-v2,precision,20.0,0.05625
all-MiniLM-L6-v2,precision,40.0,0.028750000000000005
all-MiniLM-L6-v2,hit,1.0,0.9705882352941176
all-MiniLM-L6-v2,hit,3.0,1.0
all-MiniLM-L6-v2,hit,5.0,1.0
all-MiniLM-L6-v2,hit,10.0,1.0
all-MiniLM-L6-v2,hit,20.0,1.0
all-MiniLM-L6-v2,hit,40.0,1.0
all-MiniLM-L6-v2,ndcg,1.0,0.9705882352941176
all-MiniLM-L6-v2,ndcg,3.0,0.9763169190782228
all-MiniLM-L6-v2,ndcg,5.0,0.9763169190782228
all-MiniLM-L6-v2,ndcg,10.0,0.9791447766472987
all-MiniLM-L6-v2,ndcg,20.0,0.9791447766472987
all-MiniLM-L6-v2,ndcg,40.0,0.9821551208909183
all-MiniLM-L6-v2,mrr,,0.9852941176470589
all-MiniLM-L6-v2,separability,,0.2997729894431198
multilingual-e5-small,recall,1.0,0.8137254901960784
multilingual-e5-small,recall,3.0,0.9803921568627452
multilingual-e5-small,recall,5.0,0.9901960784313725
multilingual-e5-small,recall,10.0,1.0
multilingual-e5-small,recall,20.0,1.0
multilingual-e5-small,recall,40.0,1.0
multilingual-e5-small,precision,1.0,0.8
multilingual-e5-small,precision,3.0,0.36666666666666664
multilingual-e5-small,precision,5.0,0.225
multilingual-e5-small,precision,10.0,0.11500000000000002
multilingual-e5-small,precision,20.0,0.05750000000000001
multilingual-e5-small,precision,40.0,0.028750000000000005
multilingual-e5-small,hit,1.0,0.9411764705882353
multilingual-e5-small,hit,3.0,1.0
multilingual-e5-small,hit,5.0,1.0
multilingual-e5-small,hit,10.0,1.0
multilingual-e5-small,hit,20.0,1.0
multilingual-e5-small,hit,40.0,1.0
multilingual-e5-small,ndcg,1.0,0.9411764705882353
multilingual-e5-small,ndcg,3.0,0.9688960459971504
multilingual-e5-small,ndcg,5.0,0.9725301178664454
multilingual-e5-small,ndcg,10.0,0.9752455753584923
multilingual-e5-small,ndcg,20.0,0.9752455753584923
multilingual-e5-small,ndcg,40.0,0.9752455753584923
multilingual-e5-small,mrr,,0.9705882352941176
multilingual-e5-small,separability,,0.05911592174978817
F2LLM-v2-80M,recall,1.0,0.8137254901960784
F2LLM-v2-80M,recall,3.0,0.9803921568627452
F2LLM-v2-80M,recall,5.0,0.9901960784313725
F2LLM-v2-80M,recall,10.0,1.0
F2LLM-v2-80M,recall,20.0,1.0
F2LLM-v2-80M,recall,40.0,1.0
F2LLM-v2-80M,precision,1.0,0.8
F2LLM-v2-80M,precision,3.0,0.36666666666666664
F2LLM-v2-80M,precision,5.0,0.225
F2LLM-v2-80M,precision,10.0,0.11500000000000002
F2LLM-v2-80M,precision,20.0,0.05750000000000001
F2LLM-v2-80M,precision,40.0,0.028750000000000005
F2LLM-v2-80M,hit,1.0,0.9411764705882353
F2LLM-v2-80M,hit,3.0,1.0
F2LLM-v2-80M,hit,5.0,1.0
F2LLM-v2-80M,hit,10.0,1.0
F2LLM-v2-80M,hit,20.0,1.0
F2LLM-v2-80M,hit,40.0,1.0
F2LLM-v2-80M,ndcg,1.0,0.9411764705882353
F2LLM-v2-80M,ndcg,3.0,0.9638610615928999
F2LLM-v2-80M,ndcg,5.0,0.9674951334621947
F2LLM-v2-80M,ndcg,10.0,0.9718492792116926
F2LLM-v2-80M,ndcg,20.0,0.9718492792116926
F2LLM-v2-80M,ndcg,40.0,0.9718492792116926
F2LLM-v2-80M,mrr,,0.9705882352941176
F2LLM-v2-80M,separability,,0.269093357026577
Gecko-110m-en (f32),recall,1.0,0.8431372549019608
Gecko-110m-en (f32),recall,3.0,0.9705882352941176
Gecko-110m-en (f32),recall,5.0,0.9803921568627452
Gecko-110m-en (f32),recall,10.0,1.0
Gecko-110m-en (f32),recall,20.0,1.0
Gecko-110m-en (f32),recall,40.0,1.0
Gecko-110m-en (f32),precision,1.0,0.825
Gecko-110m-en (f32),precision,3.0,0.3583333333333333
Gecko-110m-en (f32),precision,5.0,0.22000000000000003
Gecko-110m-en (f32),precision,10.0,0.11500000000000002
Gecko-110m-en (f32),precision,20.0,0.05750000000000001
Gecko-110m-en (f32),precision,40.0,0.028750000000000005
Gecko-110m-en (f32),hit,1.0,0.9705882352941176
Gecko-110m-en (f32),hit,3.0,1.0
Gecko-110m-en (f32),hit,5.0,1.0
Gecko-110m-en (f32),hit,10.0,1.0
Gecko-110m-en (f32),hit,20.0,1.0
Gecko-110m-en (f32),hit,40.0,1.0
Gecko-110m-en (f32),ndcg,1.0,0.9558823529411765
Gecko-110m-en (f32),ndcg,3.0,0.9677107436977934
Gecko-110m-en (f32),ndcg,5.0,0.9713448155670884
Gecko-110m-en (f32),ndcg,10.0,0.9786807682592424
Gecko-110m-en (f32),ndcg,20.0,0.9786807682592424
Gecko-110m-en (f32),ndcg,40.0,0.9786807682592424
Gecko-110m-en (f32),mrr,,0.9852941176470589
Gecko-110m-en (f32),separability,,0.19302362904829137
Gecko-110m-en (int8),recall,1.0,0.8431372549019608
Gecko-110m-en (int8),recall,3.0,0.9705882352941176
Gecko-110m-en (int8),recall,5.0,0.9803921568627452
Gecko-110m-en (int8),recall,10.0,1.0
Gecko-110m-en (int8),recall,20.0,1.0
Gecko-110m-en (int8),recall,40.0,1.0
Gecko-110m-en (int8),precision,1.0,0.825
Gecko-110m-en (int8),precision,3.0,0.3583333333333333
Gecko-110m-en (int8),precision,5.0,0.22000000000000003
Gecko-110m-en (int8),precision,10.0,0.11500000000000002
Gecko-110m-en (int8),precision,20.0,0.05750000000000001
Gecko-110m-en (int8),precision,40.0,0.028750000000000005
Gecko-110m-en (int8),hit,1.0,0.9705882352941176
Gecko-110m-en (int8),hit,3.0,1.0
Gecko-110m-en (int8),hit,5.0,1.0
Gecko-110m-en (int8),hit,10.0,1.0
Gecko-110m-en (int8),hit,20.0,1.0
Gecko-110m-en (int8),hit,40.0,1.0
Gecko-110m-en (int8),ndcg,1.0,0.9558823529411765
Gecko-110m-en (int8),ndcg,3.0,0.9677107436977934
Gecko-110m-en (int8),ndcg,5.0,0.9713448155670884
Gecko-110m-en (int8),ndcg,10.0,0.9786807682592424
Gecko-110m-en (int8),ndcg,20.0,0.9786807682592424
Gecko-110m-en (int8),ndcg,40.0,0.9786807682592424
Gecko-110m-en (int8),mrr,,0.9852941176470589
Gecko-110m-en (int8),separability,,0.1952687712276683
